"review","reply"
"nice drink and the person are friendly too??????","Thank you for your feedback! We're committed to providing the best products and flavors to our customers. We look forward to serving you again soon. :)"
"Love the soft burger buns. Sauces are nice too. Lots of sides whth fiah abd chips. Overall good and satisfying dinner.","Thank you! :)"
"Ordered nasi rawon and it was very tasty. The rawon gravy was great!","Thanks for the compliment. Greatly appreciated"
"I paid for additional pork skin but was not in my order! $3 for that? Not the forst time for this store. Very disappointed.","Truly sorry for the error, forget to put Chinese pork skin beside the name. Will gladly refund you , pls contact us "
"come on time","Thank you-It's sweet of you to say so. We're really appreciative of your substantive comments."
"food portion is alot for nasi padang. the beef rendang is very tender and yummy. follow instructions given. ordered many times from here.","We thankiu for ur continuous support???. In sya allah we will continue to provide nice n delicious food for our customer at a reasonable price ????????????????????????????"
"Fully satisfied! worth it. Nasi Padang dishes nice..and sambal spicy ????Nasi lemak as usual ????","????????????????????????"
"Nasi padang siput set was the bomb. Lemak gravy had enough kick with the spice and so much siput.. yum.  They piled on the equally tasty vegetables and didn't stinge on the chilli.","????????????????????????????????"
"Loved the Chundo.. Genuine and Authentic ","Thank you for your very kind feedback. We look forward to serving you again soon."
"The portion was very small for $10","Thank you for taking the time to write the review. It helps us improve our quality. We will look into this to offer better valued food and services :)"
"No pickled chilli for my horfun ?????? but the rest of the foods was ok.","Thank you for taking the time to write your review. We apologise for the mistake. And we look forward to serve you better next time :)"
"Mee goreng too sweet to my liking
Seafood hor fun so so
Char kway teow is the only saving grace","Thank you for taking the time to write your review. It helps us to improve the quality of our food and provide better value added services:) we will look into this"
"ordered grill squid with rice,only few pieces of squid but loads of onions.

so disappointing ","Thank you for taking time to write the review. It helps us to improve the quality of our food. We strive to serve you better in the near future :)"
"Too much onions! and my Basil Chicken with rice n egg was delivered with no egg!","Please accept our sincere apologies. As a gesture we would like to offer you a 10% disc on your next order. Kindly get in touch through instagram to redeem this :)"
"Mushroom soup is so good! Goes well with the bread. Whole order exceeded my expectations ????????","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"very yummy esp chic bolognese spag & truffle cheesy fries. aglio olio abit oily though. generous portion for 2 pax too. Thank u v much","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and we will improve further. Hope to hear from you again ????"
"Good food","Thank you for your valuable feedback ???? we hope you have enjoyed your meal and hear from you again ????"
"The food are awesome...delicious","We're grateful for your positive review and appreciate your continued support. We look forward to serving you again soon!"
"Surprised with the small indonesian beansprout that they put in nasi goreng rawon. I loved it. All the nasi goreng were good","We're thrilled that our indonesian beansprouts hit the spot for you. Thank you for choosing us, and we can't wait to see you back for more of our tasty foods!"
"Nasi Goreng nice! Old school taste! ","We're glad you found our food exceptional. Thank you for choosing us and for your continued support."
"First time ordering from this stall. The Nasi goreng is delicious. Typical malay style fried rice ","We're thrilled to hear that you enjoyed our Nasi Goreng! Your kind words are greatly appreciated."
